ASIN,title,rating,review_count,price,product_type
B087JVV8FK,"Artix CL750 Foldable Noise Isolating On Ear Headphones Wired with Microphone and Volume Control, Stereo Head Phones Corded with Adjustable Headband for Computer, Laptop and Cell Phone (Black)",4.4,2906,24.99,headphone
B07Q9M1LW9,"Wireless Over-Ear Headphones with Deep Bass, Foldable Wireless and Wired Stereo Headset Buit in Mic for Cell Phone, PC,TV, PC,Soft Earmuffs &Light Weight for Prolonged Wearing (Black/red)",4.4,28018,22.09,headphone
B07K5214NZ,"Bluetooth Over-Ear Headphones, Zihnic Foldable Wireless and Wired Stereo Headset Micro SD/TF, FM for Cell Phone,PC,Soft Earmuffs &Light Weight for Prolonged Waring (Rose Gold)",4.4,28018,22.09,headphone
B08F1SX35C,TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof TWS Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport (Champagne),4.5,80699,39.99,headphone
B07PD9V78L,"Mpow CH6S Kids Headphones with Microphone Over Ear, On Ear Headphones for Kids with HD Sound Sharing Function for Children Boys Girls, Volume Limit Safe 85dB,94dB Headset for School, Travel",4.7,31726,18.59,headphone
B076HQ2P2X,AILIHEN MS300 Wired Headphones with Microphone Folding Lightweight Headset for Cellphones Tablets Smartphones Chromebook Laptop Computer Zoom Skype Mp3/4(Rose Gold),4.4,5079,21.99,headphone
B07R2J14V3,"LETSCOM Bluetooth Headphones V5.0 IPX7 Waterproof, Wireless Sport Earphones, HiFi Bass Stereo Sweatproof Earbuds W/Mic, Noise Cancelling Headset for Workout, Running, Gym, 8 Hours Play time",4.4,62047,20.99,headphone
B0868MDSL5,"Hybrid Active Noise Cancelling Headphones, VANKYO C751 Over Ear Wireless Bluetooth Headphones with CVC 8.0 Mic, Deep Bass, Hi-Fi Sound, 30H Playtime Headset for Adults, TV, Online Class, Home Office",4.6,10528,64.99,headphone
B08F9FGSMJ,"Vislla Bluetooth Sports Headphones, V5.0 True Wireless Earbuds TWS Deep Bass Earphones, 8 Hours Playtime Waterproof Headset with LED Power Display Charging Case & Built-in Mic for Running/Workout/Gym",4.6,393,25.99,headphone
B07TQM2FTD,"LETSCOM Bluetooth Headphones, 100 Hours Playtime Bluetooth 5.0 Headphones Over Ear with Deep Bass, Hi-Fi Sound and Soft Earpads, Built-in Mic, Wired/Wireless Headset for Home Office-Black",4.4,20919,26.0,headphone
B01EF5DBZ6,AILIHEN C8 Wired Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Chromebook Smartphones Laptop Computer PC Mp3/4 (Black/Blue),4.3,17668,19.98,headphone
B07NM3RSRQ,"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",4.5,18890,59.99,headphone
B087JWTWF9,"Artix CL750 Foldable Noise Isolating On Ear Headphones Wired with Microphone and Volume Control, Stereo Head Phones Corded with Adjustable Headband for Computer, Laptop and Cell Phone (Turquoise/Gray)",4.4,2906,24.99,headphone
B083P1TSK7,"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Pearl Pink)",4.4,2117,16.99,headphone
B01NAJGGA2,"Mpow 059 Bluetooth Headphones Over Ear, HiFi Stereo Wireless Headset, Built-in Microphone, Soft Memory-Protein Earmuffs, Foldable, with Wired Mode, for Online Class, Home Office, PC, Cell Phones, TV",4.5,53244,30.99,headphone
B07V51PZ4M,"A9 Headphones Earphones Earbuds Earphones, Noise Islating, High Definition, Stereo for Samsung, iPhone,iPad, iPod and Mp3 Players (Mixed Color 4 Pairs)",4.1,1495,9.99,headphone
B07J5X68B2,"Sonitum On Ear Headphones with Microphone, Wired Head Phones with Volume Control for Computer Ipad Cellphone, Kids Headphones for School, Foldable/Adjustable fit Tangle Free 1.5m Cord, 3.5mm Jack",4.5,1973,15.97,headphone
B07SHH37M6,"PeohZarr On-Ear Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M Tangle Free Cord, Portable Wired Headphones for Smartphone Tablet Laptop Computer MP3/4",4.5,17739,12.98,headphone
B019U00D7K,"COWIN E7 Active Noise Cancelling Headphones Bluetooth Headphones with Microphone Deep Bass Wireless Headphones Over Ear, Comfortable Protein Earpads, 30 Hours Playtime for Travel/Work, Black",4.4,62476,69.99,headphone
B07MXGMWG7,"Kids Headphones for School, Jelly Comb Girls Lightweight Foldable Stereo Bass Kids Headphones with Microphone, Volume Control for Cell Phone, Tablet, Laptop, MP3/4(Green & Purple)- For Aged 6 or Above",4.6,6062,11.04,headphone
B08H5F8WN3,"Bluetooth 4.2 Headphones in Ear with Charging Case, Hands-Free Headset with Noise Cancellation Mic, 25 Hours Playback for iPhone and Android",3.9,4,25.99,headphone
B0863TXGM3,"Sony WH-1000XM4 Wireless Industry Leading Noise Canceling Overhead Headphones with Mic for Phone-Call and Alexa Voice Control, Black",4.7,9247,348.0,headphone
B08HMWZBXC,"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, 40H Playtime, Fast Charge, Soft Earcups, Bluetooth Headphones, Travel",4.7,2289,79.99,headphone
B00004T8R2,Panasonic Headphones On-Ear Lightweight with XBS RP-HT21 (Black & Silver),4.3,16480,6.99,headphone
B0753GRNQZ,"Mpow Flame Bluetooth Headphones V5.0 IPX7 Waterproof Wireless Headphones, Bass+ HD Stereo Wireless Sport Earbuds, 7-9Hrs Playtime, cVc6.0 Noise Cancelling Mic for Home Workout, Running, Gym Red",4.4,58202,18.98,headphone
B07MCCJ6VY,"Headphones with Microphone, Vogek Lightweight Foldable on Ear Headset for Kids Teens Adults, Wired Stereo Headphones with Deep Bass, Portable Design for Home Office Travel Virtual Schooling, Black",4.5,14930,9.99,headphone
B01EF5DBYM,AILIHEN C8 Wired Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Chromebook Laptop Computer PC Mp3/4 (Grey/Mint),4.3,17668,19.98,headphone
B07ZRLM42Z,"Bluetooth Headphones,Tuinyo Wireless Headphones Over Ear with Microphone, Foldable & Lightweight Stereo Wireless Headset for Travel Work TV PC Cellphone - Silver Blue",4.4,4625,21.24,headphone
B00E4LGVUO,"Panasonic ErgoFit Earbud Headphones with Microphone and Call Controller Compatible with iPhone, Android and Blackberry - RP-TCM125-K - In-Ear (Black), Earpads S/M/L",4.3,104491,12.95,headphone
B08K8LHD52,"Bluetooth Headphones, 40Hrs Wireless Over-Ear Headphones Deep Bass Audio with CVC 6.0 Mic for Kids Adults Travel Online Class Home Office",4.7,193,20.99,headphone
B07S7J1CGK,"Mpow Flame2 Bluetooth Headphones Sport, 12Hrs & Bluetooth 5.0 Wireless Sport Earphones, IPX7 Waterproof Running Headphones w/CVC 6.0 Noise Cancelling Mic, Bluetooth Earphones w/Comfort-Slanting,Black",4.4,22515,21.99,headphone
B07L1RQDJM,Heavy bass Earphone Color Call with Mic Stereo Earbud Headphones Mixed Colors (Black + White + Pink + Green 4 Pairs)…,4.2,6752,9.99,headphone
B08H1WNYTR,Occiam Bluetooth Headphones-True Wireless Earbuds 48Hrs Playtime Earphones TWS Deep Bass Loud Voice Call Over Ear Waterproof with Microphone Smart LED Display for Sports Running Gaming Workout-Black,4.6,8450,39.99,headphone
