Title,ASIN,Batterylife_hrs,Batteries,Best_seller_rank,Brand,Card_Description,Color,Comp_memory_type,First_date_avai,Memory_size,Graphic_coprocessor,Hardware_Platform,Item_Dimension,Model_number,MaxScreen_res,OS,Power_source,Processor_brand,Processor_count,Prod_dimension,Screen_resolution,Series,Display_size
Lenovo IdeaPad 3 Intel i5-1035G1 Quad Core 12GB RAM 256GB SSD 15.6-inch Touch Screen Laptop,B08NXSJVCR,,1 Lithium Polymer batteries required. (included),212,Lenovo,Dedicated,Platinum Grey,DDR4 SDRAM,2020-11-20,256,Intel UHD Graphics,PC,14.26 x 9.98 x 0.78 ,81WE00NKUS,1366 x 768 ,Windows 10,AC & Battery,Intel,2,14.26 x 9.98 x 0.78 ,1366x768,Lenovo Ideapad,15.6
"Lenovo Chromebook S330 Laptop, 14-Inch FHD (1920 x 1080) Display, MediaTek MT8173C Processor, 4GB LPDDR3, 64GB eMMC, Chrome OS, 81JW0000US, Business Black",B07GLV1VC7,10,1 Lithium Polymer batteries required. (included),372,Lenovo,Integrated,Business Black,Unknown,2018-08-09,64,,Chrome,12.82 x 0.82 x 9.15 ,81JW0000US,1920X1080 ,Chrome OS,Battery Powered,Mediatek,4,12.82 x 0.82 x 9.15 ,,Ideapad S330,14
"Acer Predator Helios 300 Gaming Laptop, Intel i7-10750H, NVIDIA GeForce RTX 2060 6GB, 15.6"" Full HD 144Hz 3ms IPS Display, 16GB Dual-Channel DDR4, 512GB NVMe SSD, Wi-Fi 6, RGB Keyboard, PH315-53-72XD",B08842D7JS,6,1 Lithium ion batteries required. (included),146,Acer,RTX 2060,,DDR4 SDRAM,2020-06-16,512,NVIDIA GeForce RTX 2060,,14.31 x 10.04 x 0.9 ,PH315-53-72XD,1920 x 1080 ,Windows 10 Home,Battery Powered,Intel,6,14.31 x 10.04 x 0.9 ,,PH315-53-72XD,15.6
"HP Stream 14-inch Laptop, Intel Celeron N4000, 4 GB RAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (14-cb185nr, Royal Blue)",B084SKWC89,10,1 Lithium Metal batteries required. (included),669,HP,Integrated,Royal Blue,DDR4 SDRAM,2020-03-01,4,,,13.27 x 8.9 x 0.7 ,9MV84UA#ABA,1366 x 768 ,Windows 10 Home,Battery Powered,Intel,2,13.27 x 8.9 x 0.7 ,,Stream Laptop,14
"HP Chromebook 11-inch Laptop - Up to 15 Hour Battery Life - MediaTek - MT8183 - 4 GB RAM - 32 GB eMMC Storage - 11.6-inch HD Display - with Chrome OS - (11a-na0021nr, 2020 Model, Snow White)",B08H6YZY3Y,15.45,1 Lithium Polymer batteries required. (included),2997,HP,Integrated,Snow White,SDRAM,2020-10-04,32,,Google,7.59 x 11.22 x 0.66 ,11a-na0021nr,1366 x 768 ,Chrome OS,Battery Powered,MediaTek,8,7.59 x 11.22 x 0.66 ,,HP 11 Chromebook,11.6
"Acer Spin 5 Convertible Laptop, 13.5"" 2K 2256 x 1504 IPS Touch, 10th Gen Intel Core i7-1065G7, 16GB LPDDR4X, 512GB NVMe SSD, Wi-Fi 6, Backlit KB, FPR, Rechargeable Active Stylus, SP513-54N-74V2",B086KJCJDM,15,1 Lithium ion batteries required. (included),270,Acer,Integrated,,,2020-04-27,512,,Windows,11.81 x 9.25 x 0.59 ,SP513-54N-74V2,1280 x 720,Windows 10 Home,Battery Powered,Intel,4,11.81 x 9.25 x 0.59 ,,SP513-54N-74V2,13.5
"Newest HP 15.6inch Lightweight Laptop, Intel Quad-Core i5-1035G1 Processor Up to 3.60 GHz, 8GB DDR4 RAM, 256GB SSD + 16GB Optane, HDMI, Bluetooth, Win 10-Silver (Renewed)",B08FCTXKFB,,1 Lithium ion batteries required. (included),17066,HP,Integrated,Silver,DDR4 SDRAM,2020-08-06,256,Intel,PC,14.11 x 9.53 x 0.71 ,HP 15.6inch Laptop,1366 x 768 ,Windows 10,,Intel,4,14.11 x 9.53 x 0.71 ,,HP 15.6inch Laptop,15.6
"Acer Aspire 5 A515-55-56VK, 15.6"" Full HD IPS Display, 10th Gen Intel Core i5-1035G1, 8GB DDR4, 256GB NVMe SSD, Intel Wireless WiFi 6 AX201, Fingerprint Reader, Backlit Keyboard, Windows 10 Home",B087RTV311,8,1 Lithium ion batteries required. (included),240,Acer,Integrated,,DDR4 SDRAM,2020-06-01,256,Integrated,,14.31 x 9.86 x 0.71 ,A515-55-56VK,1920 x 1080,Windows 10 Home,Battery Powered,Intel,4,14.31 x 9.86 x 0.71 ,,A515-55-56VK,15.6
"Microsoft Surface Laptop Go - 12.4"" Touchscreen - Intel Core i5 - 8GB Memory - 128GB SSD - Ice Blue",B08GZKZ95X,,1 Lithium ion batteries required. (included),2301,Microsoft,Integrated,Ice Blue,,2020-10-01,128,Intel UHD Graphics,PC,9.27 x 12.19 x 1.93 ,THH-00024,1536 x 1024 ,Windows 10 S,Battery,Intel,4,9.27 x 12.19 x 1.93 ,1536 x 1024,Surface Laptop Go,12.45
"OEM Lenovo ThinkPad T490 Laptop 14” WQHD IPS Display 2560x1440, Intel Quad Core i7-8665U, 48GB RAM, 512GB NVMe, Fingerprint, W10P",B08KRJNN83,,,44811,Oemgenuine,,Black,SODIMM,2020-03-31,512,Intel UHD,PC,12.95 x 8.94 x 0.7 ,T490,2560x1440 ,Windows 10 Pro,AC & Battery,Intel,4,12.95 x 8.94 x 0.7 ,,ThinkPad T490,14
