,ASIN,title,rating,review_count,price,product_type
0,B087QRW81Z,"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black",4.6,1134,119.97,monitor
1,B07743412C,"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170° (Horizontal) / 160° (Vertical)",4.5,12054,79.97,monitor
2,B07MTRQ6B3,"Sceptre Curved 27"" 75Hz LED Monitor HDMI VGA Build-In Speakers, EDGE-LESS Metal Black 2019 (C275W-1920RN)",4.7,4828,169.99,monitor
3,B087QRW81Z,"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black",4.6,1134,119.97,monitor
4,B072XCZSSW,BenQ 24 Inch IPS Monitor | 1080P | Proprietary Eye-Care Tech | Ultra-Slim Bezel | Adaptive Brightness for Image Quality | Speakers | GW2480 Black,4.7,8532,118.69,monitor
5,B00W95RR32,"LG 24M47VQ 24-Inch LED-lit Monitor, Black",4.7,2700,99.99,monitor
6,B0148NNKTC,"Acer R240HY bidx 23.8-Inch IPS HDMI DVI VGA (1920 x 1080) Widescreen Monitor, Black",4.6,10262,112.99,monitor
7,B07YGZL8XF,"LG 27GL83A-B 27 Inch Ultragear QHD IPS 1ms NVIDIA G-SYNC Compatible Gaming Monitor, Black",4.7,6403,379.99,monitor
8,B079K3MXWF,"SAMSUNG LC24F396FHNXZA 23.5"" FHD Curved LED-Lit FreeSync Monitor",4.7,3539,129.99,monitor
9,B07PGL2WVS,"LG 27UL500-W 27-Inch UHD (3840 x 2160) IPS Monitor with Radeon Freesync Technology and HDR10, White",4.6,1362,296.99,monitor
10,B07CLMDH3K,"Philips 276E9QDSB 27"" frameless monitor, Full HD IPS, 124% sRGB, FreeSync 75Hz, VESA, 4Yr Advance Replacement Warranty",4.6,7987,149.72,monitor
11,B088MKB54B,"ASUS TUF Gaming VG27VH1B 27” Curved Monitor, 1080P Full HD, 165Hz (Supports 144Hz), Extreme Low Motion Blur, Adaptive-sync, FreeSync Premium, 1ms, Eye Care, HDMI D-Sub, BLACK",4.6,401,239.99,monitor
12,B07V1SQ966,Portable Monitor - Lepow 15.6 Inch Full HD 1080P USB Type-C Computer Display IPS Eye Care Screen with HDMI Type C Speakers for Laptop PC PS4 Xbox Phone Included Smart Cover & Screen Protector Black,4.5,7475,188.98,monitor
13,B078GSH1LV,"LG 34WK650-W 34"" UltraWide 21:9 IPS Monitor with HDR10 and FreeSync (2018), Black/White",4.6,749,296.99,monitor
14,B089BTLL9K,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",4.6,1156,139.97,monitor
15,B08L3HSHQ4,Eyoyo Small Monitor 8 inch Mini HDMI VGA Display Screen 1280x720 High Resolution IPS Display Server Monitor for Computer/PC/Raspberry Pi w/Speakers/Remote Control/Wall Mount,4.8,7,89.99,monitor
16,B07Z7ZGHD5,"MOUNTUP Single Monitor Desk Mount - Adjustable Gas Spring Monitor Arm, VESA Mount with C Clamp, Grommet Mounting Base, Computer Monitor Stand for Screen up to 32 inch, MU0004",4.4,4090,25.49,monitor
17,B087QRW81Z,"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black",4.6,1134,119.97,monitor
18,B089BTLL9K,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",4.6,1156,139.97,monitor
19,B079K3MXWF,"SAMSUNG LC24F396FHNXZA 23.5"" FHD Curved LED-Lit FreeSync Monitor",4.7,3539,129.99,monitor
20,B0787WGCXT,ViewSonic VX3276-MHD 32 Inch 1080p Frameless Widescreen IPS Monitor with Screen Split Capability HDMI and DisplayPort,4.7,3859,198.99,monitor
21,B08FF3HDW5,"SAMSUNG 32-Inch Odyssey G5 Gaming Monitor with 1000R Curved Screen, 144Hz, 1ms, FreeSync Premium, QHD (LC32G55TQWNXZA), Black",4.5,1879,349.99,monitor
22,B07ZHHHBM5,"Dell SE2419HR - 24 Inch 1080p FHD, IPS Ultra-Thin Bezel Monitor with Anti-Glare, HDMI, Black (Latest Model)",4.7,450,134.9,monitor
23,B07PGL2WVS,"LG 27UL500-W 27-Inch UHD (3840 x 2160) IPS Monitor with Radeon Freesync Technology and HDR10, White",4.6,1362,296.99,monitor
24,B072F3DL6P,"ViewSonic VA2246MH-LED 22 Inch Full HD 1080p LED Monitor with HDMI and VGA Inputs for Home and Office, Black",4.6,4182,99.99,monitor
25,B08L3HSHQ4,Eyoyo Small Monitor 8 inch Mini HDMI VGA Display Screen 1280x720 High Resolution IPS Display Server Monitor for Computer/PC/Raspberry Pi w/Speakers/Remote Control/Wall Mount,4.8,7,89.99,monitor
26,B06Y45V625,"Dell E Series 23-Inch Screen LED-lit Monitor (Dell E2318Hx), Black",4.8,1966,118.98,monitor
27,B0876DBCBX,"LG 29WN600-W 29"" 21:9 UltraWide WFHD IPS HDR1 0 Monitor with FreeSync, Silver",4.7,997,226.99,monitor
28,B088MKF848,"ASUS TUF Gaming VG32VQ1B 31.5” Curved Monitor, WQHD (2560 x 1440), 165Hz (Supports 144Hz), 1ms, FreeSync Premium/Adaptive-sync, Extreme Low Motion Blur, HDR10, HDMI DisplayPort, BLACK",4.7,5531,398.35,monitor
29,B08HSN5K1Q,"LG 32MN60T-B 32"" Class FHD IPS FreeSync Monitor (Renewed)",4.7,29,189.99,monitor
30,B07T1J5S1R,10.1 inch Gaming Monitor Cocar HD TFT 1280x800 IPS LED Screen for NES SNES PS3 PS4 Xbox PC Nintendo Switch Car Backup System DC 12V MP5 Media Player Built-in Speaker HDMI VGA AV USB Video Input,3.7,16,89.99,monitor
31,B0126X3D9S,"Flexzion Privacy Screen Filter Anti-Glare Protective Film Damage Scratch Proof for 24"" Inch Widescreen LCD Monitor Display PC Desktop Laptop Computer (16:9 Ratio)",3.4,24,58.99,monitor
32,B089BTLL9K,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",4.6,1156,139.97,monitor
33,B087QRW81Z,"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black",4.6,1134,119.97,monitor
34,B08C5MGFXQ,"ASUS VA24DQ 23.8” Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync/FreeSync, Eye Care, HDMI DisplayPort VGA, Frameless, VESA Wall Mountable, BLACK",4.7,238,119.0,monitor
35,B07V1SQ966,Portable Monitor - Lepow 15.6 Inch Full HD 1080P USB Type-C Computer Display IPS Eye Care Screen with HDMI Type C Speakers for Laptop PC PS4 Xbox Phone Included Smart Cover & Screen Protector Black,4.5,7475,188.98,monitor
36,B08BF4CZSV,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),4.7,6854,164.99,monitor
37,B07CVL2D2S,"Acer SB220Q bi 21.5 Inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port), Black",4.7,25069,122.99,monitor
38,B07KW6HFD1,"Dell 27 LED backlit LCD Monitor SE2719H IPS Full HD 1080p 1920 x 1080 at 60 Hz HDMI VGA,Black",4.7,2953,178.0,monitor
39,B072M34RQC,"HP VH240a 23.8-Inch Full HD 1080p IPS LED Monitor with Built-In Speakers and VESA Mounting, Rotating Portrait & Landscape, Tilt, and HDMI & VGA Ports (1KL30AA) - Black",4.7,19084,157.9,monitor
40,B07GD7H18F,"AOC C24G1 24"" Curved Frameless Gaming Monitor, FHD 1080p, 1500R VA panel, 1ms 144Hz, FreeSync, Height adjustable, VESA, 3-Year Zero Dead Pixels Black",4.7,17883,205.9,monitor
41,B015WCV70W,"HP Pavilion 22cwa 21.5-Inch Full HD 1080p IPS LED Monitor, Tilt, VGA and HDMI (T4Q59AA) - Black",4.6,9620,118.99,monitor
42,B08JX2J5T4,"SAMSUNG 27-inch M5 Smart Monitor with Mobile Connectivity, FHD, Remote Access, Office 365 (LS27AM500NNXZA), Black",3.7,43,199.99,monitor
43,B078GVTD9N,"LG 27UK850-W 27"" 4K UHD IPS Monitor with HDR10 with USB Type-C Connectivity and FreeSync, White",4.6,2333,449.99,monitor
44,B088BC5HKF,"ASUS ProArt Display PA248QV 24.1” WUXGA (1920 x 1200) 16:10 Monitor, 100% sRGB/Rec.709 ΔE < 2, IPS, DisplayPort HDMI D-Sub, Calman Verified, Eye Care, Anti-glare, Tilt Pivot Swivel Height Adjustable",4.7,1149,199.0,monitor
45,B08L3HSHQ4,Eyoyo Small Monitor 8 inch Mini HDMI VGA Display Screen 1280x720 High Resolution IPS Display Server Monitor for Computer/PC/Raspberry Pi w/Speakers/Remote Control/Wall Mount,4.8,7,89.99,monitor
46,B0126X3D9S,"Flexzion Privacy Screen Filter Anti-Glare Protective Film Damage Scratch Proof for 24"" Inch Widescreen LCD Monitor Display PC Desktop Laptop Computer (16:9 Ratio)",3.4,24,58.99,monitor
47,B089BTLL9K,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",4.6,1156,139.97,monitor
48,B08JXR817G,"MSI Full HD Gaming Non-Glare Super Narrow Bezel 1ms 1920 x 1080 144Hz Refresh Rate Adjustable Height Arm FreeSync 27” IPS Gaming Monitor (Optix MAG274), Black, Optix MAG274R",4.8,22,219.99,monitor
49,B07Y2QPG3B,"Samsung 24"" FHD Monitor with Bezel-LESS Design - LS24R350FHNXZA, Dark Blue Gray",4.6,680,129.99,monitor
50,B0812DKDD9,"Sceptre 35 Inch Curved UltraWide 21: 9 LED Creative Monitor QHD 3440x1440 Frameless AMD Freesync HDMI DisplayPort Up to 100Hz, Machine Black 2020 (C355W-3440UN)",4.6,1464,379.97,monitor
51,B0845NXCXF,"ASUS TUF Gaming VG289Q 28” HDR Gaming Monitor 4K (3840 x 2160) IPS FreeSync Eye Care DisplayPort Dual HDMI HDR 10,BLACK",4.6,326,329.0,monitor
52,B07WMTLW2R,"Acer CB272 bmiprx 27"" Full HD (1920 x 1080) IPS Zero Frame Home Office Monitor with AMD Radeon Free Sync - 1ms VRB, 75Hz Refresh, Height Adjustable Stand with Tilt & Pivot (Display, HDMI & VGA ports)",4.5,2119,179.99,monitor
53,B087QRW81Z,"Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black",4.6,1134,119.97,monitor
54,B08L3HSHQ4,Eyoyo Small Monitor 8 inch Mini HDMI VGA Display Screen 1280x720 High Resolution IPS Display Server Monitor for Computer/PC/Raspberry Pi w/Speakers/Remote Control/Wall Mount,4.8,7,89.99,monitor
55,B08LLBT4LV,"LG 27UN880-B – 27” UHD (3840 x 2160) Ergo IPS Ultrafine Monitor with sRGB 99% Color Gamut, VESA DisplayHDR 400 and USB Type-C (60W PD) -Black",4.5,239,598.54,monitor
56,B07Z8TC28F,"Asus VA24EHE 23.8” Monitor, 1080P, Full HD, IPS, 75Hz, HDMI D-Sub DVI-D, Adaptive-Sync / FreeSync, VESA wall mountable, Eye Care, Flicker-free and Low Blue Light",4.7,3630,109.0,monitor
57,B06ZYHZ6R6,"Acer XFA240 bmjdpr 24"" Gaming G-SYNC Compatible Monitor 1920 x 1080, 144hz Refresh Rate, 1ms Response Time with Height, Pivot, Swivel & Tilt, Black",4.6,3584,199.99,monitor
58,B0199W9UMS,HP Pavilion 27xw 27-Inch Full HD 1080p IPS LED Monitor with VGA and HDMI Ports (V0N26AA#ABA) - White & Silver,4.7,1646,228.99,monitor
59,B07KXSR99Y,"Sceptre 24"" Curved 75Hz Gaming LED Monitor Full HD 1080P HDMI VGA Speakers, VESA Wall Mount Ready Metal Black 2019 (C248W-1920RN)",4.6,12031,129.99,monitor
60,B005BZNDOO,"Asus VS228H-P 21.5"" Full HD 1920x1080 HDMI DVI VGA LCD Monitor with Back-lit LED, Black",4.6,5099,96.99,monitor
61,B00QRMFEAQ,MarCELL Cellular Temperature/Humidity Monitor (Verizon),4.6,299,189.0,monitor
62,B086JN9XGX,"4K Portable Monitor - AZMIOR 15.6 Inch UHD 3840x2160 IPS 100% sRGB 60Hz, HDR Freesync Gaming Computer Display with Dual USB C Mini HD for Laptop, PC, MAC, Surface, Phone, PS3, PS4, Xbox, Switch",4.4,208,339.99,monitor
63,B089BTLL9K,"Sceptre IPS 27-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, Machine Black 2020 (e275W-FPT)",4.6,1156,139.97,monitor
64,B08L3HSHQ4,Eyoyo Small Monitor 8 inch Mini HDMI VGA Display Screen 1280x720 High Resolution IPS Display Server Monitor for Computer/PC/Raspberry Pi w/Speakers/Remote Control/Wall Mount,4.8,7,89.99,monitor
65,B00PXYRMPE,Dell UltraSharp U3415W 34-Inch Curved LED-Lit Monitor,4.6,3432,629.0,monitor
66,B07V1J81FB,"Dual Monitor Stand - Dual Monitor Mount, VESA Mount (75x75 100x100), Dual Monitor Arm Fit 17 Inch to 32 Inch VESA Compatible Screens, Full Motion Spring Movement Monitor Desk Mount, Monitor Stands",4.7,1976,94.97,monitor
67,B0875R3HWB,"MOUNTUP Dual Monitor Stand Mount- 2 Monitor Arm Desk Mount with Gas Spring, Die-Cast Aluminum Computer Monitor Stand fits 2 Screen 17 to 32 inch - Each Arm Holds up to 17.6LBS MU0024",4.4,362,59.99,monitor
68,B086WBLJ6M,"AOC Q32V3 32"" 2K QHD monitor, VA Panel, 75Hz refresh rate for casual gaming, 103% sRGB Coverage, VESA, HDMI/DP Ports",4.5,2358,209.99,monitor
