product_type,year,quarter,revenue
processor,"2018-12-01 09:32:00",4,1754426.889999991
smartphone,"2018-12-01 14:32:00",4,1711522.3699999833
NULL,"2018-12-01 08:26:00",4,6317787.460000546
headphone,"2018-12-01 08:34:00",4,23022.120000000017
Keyboard,"2018-12-01 09:53:00",4,593426.0199999969
Mouse,"2018-12-01 09:53:00",4,774423.3699999943
monitor,"2018-12-01 09:53:00",4,536756.7799999985
LAPTOP,"2018-12-01 14:32:00",4,1028578.4099999996
DSLR,"2018-12-01 16:01:00",4,2476272.5600000303
processor,"2019-01-04 12:18:00",1,4910318.390000033
LAPTOP,"2019-01-05 11:30:00",1,3035796.029999997
Keyboard,"2019-01-05 11:52:00",1,1373684.4599999497
Mouse,"2019-01-04 10:00:00",1,1578515.349999938
NULL,"2019-01-04 10:00:00",1,16615137.260002712
smartphone,"2019-01-04 11:34:00",1,3396050.970000053
DSLR,"2019-01-04 13:25:00",1,2992825.5400000494
headphone,"2019-01-04 13:25:00",1,60497.92999999994
monitor,"2019-01-05 11:30:00",1,1668621.619999982
processor,"2019-04-01 09:19:00",2,3246790.219999991
smartphone,"2019-05-11 14:42:00",2,3142681.340000015
NULL,"2019-04-01 08:22:00",2,14878821.720002461
Keyboard,"2019-04-01 10:11:00",2,1374582.279999944
Mouse,"2019-04-01 10:11:00",2,1527840.4299999375
monitor,"2019-04-01 10:11:00",2,3349487.0600000056
headphone,"2019-04-01 10:46:00",2,68574.95000000001
DSLR,"2019-04-04 11:18:00",2,4276917.540000039
LAPTOP,"2019-04-18 13:13:00",2,2583335.189999995
processor,"2019-07-01 08:16:00",3,4344425.109999996
NULL,"2019-07-01 09:47:00",3,18730070.720001556
Keyboard,"2019-07-01 11:20:00",3,2224367.279999918
DSLR,"2019-07-01 11:23:00",3,5983361.420000144
monitor,"2019-07-01 13:48:00",3,5120428.180000034
Mouse,"2019-07-01 14:53:00",3,2165810.199999929
LAPTOP,"2019-07-04 10:17:00",3,3787389.5000000075
smartphone,"2019-08-08 15:42:00",3,5381706.089999996
headphone,"2019-07-05 16:53:00",3,107391.78000000017
processor,"2019-10-02 10:43:00",4,8252409.8700001035
Mouse,"2019-10-02 10:55:00",4,2614006.390000005
NULL,"2019-10-02 10:58:00",4,18494802.03000214
Keyboard,"2019-10-02 14:47:00",4,2227149.7899998534
monitor,"2019-10-02 15:33:00",4,4223742.120000055
headphone,"2019-10-04 14:53:00",4,183243.5400000017
LAPTOP,"2019-10-20 12:43:00",4,2040911.1999999927
smartphone,"2019-11-17 15:17:00",4,6640749.620000065
DSLR,"2019-10-02 15:33:00",4,8945053.340000277
